[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1,3.12,2.6,6.43,7.4,8.56,5]
[1.2,2.3,3.4,4.5,5.6,6.8,7.1]
[1,3.12,2.6,6.43,7.4,8.56,5]
